words,links,capital_words,spam_word_count,is_spam
123,2,2,0,0
78,1,3,1,0
92,4,5,2,0
297,1,8,2,0
870,3,20,3,1
197,0,0,1,0
651,9,11,10,1
295,1,2,5,0
95,1,3,1,0
542,2,12,3,1
665,3,4,10,1
751,5,17,8,1
549,1,18,7,1
673,1,19,3,1
194,0,3,5,0
190,2,0,1,0
52,7,12,7,1
146,0,2,1,0
269,0,0,0,0
149,1,3,2,0
239,2,0,0,0
207,0,8,1,0
167,3,4,4,1
423,10,5,6,1
211,4,1,0,0
211,1,0,2,0
152,2,23,10,1
75,1,4,0,0
193,0,0,2,0
237,8,10,3,1
474,6,7,7,1
105,7,21,3,1
155,9,30,1,1
317,5,8,4,1
73,3,1,0,0
723,2,3,5,1
999,6,11,6,1
101,8,29,7,1
273,2,10,2,0
128,0,0,0,0
213,2,8,1,0
257,1,1,2,0
661,7,14,7,1
593,8,15,3,1
735,7,16,2,1
547,1,14,3,1
269,5,2,1,0
341,2,19,8,1
176,1,8,1,0
52,2,3,0,0
57,5,16,6,1
119,5,1,6,0
203,2,2,0,0
836,1,0,7,1
165,1,1,2,0
140,5,5,8,1
482,2,1,2,0
498,7,10,5,1
855,7,22,4,1
458,6,5,6,1
134,9,2,8,1
272,2,3,0,0
48,1,0,0,0
733,7,9,9,1
177,6,20,3,1
457,6,26,10,1
195,1,2,2,0
196,1,1,2,0
352,0,1,2,0
853,2,25,1,1
842,2,16,4,1
750,6,21,2,1
188,2,17,9,1
722,10,17,1,1
891,3,18,4,1
197,7,0,10,1
971,0,13,3,1
31,0,8,4,0
203,7,28,3,1
46,2,1,0,0
415,5,3,1,0
155,2,17,5,1
818,6,7,0,1
683,5,0,2,1
596,9,29,7,1
166,2,7,1,0
393,4,6,9,1
270,2,3,0,0
806,10,23,7,1
42,2,3,2,0
272,0,1,2,0
421,7,17,5,1
810,4,15,5,1
76,4,0,2,0
441,7,27,1,1
140,2,14,2,1
157,1,2,0,0
41,0,3,2,0
187,4,9,5,1
460,3,15,4,1
718,7,26,3,1
23,0,1,6,0
24,4,0,5,0
178,7,19,9,1
313,10,28,10,1
80,4,19,6,1
242,2,2,2,0
75,3,0,1,0
206,0,2,0,0
103,2,2,2,0
138,0,3,0,0
78,5,19,3,1
589,10,8,8,1
279,0,1,0,0
87,2,2,1,0
407,10,10,3,1
350,6,1,7,1
375,3,3,3,1
109,2,5,2,1
126,0,13,10,1
210,4,0,1,0
35,2,2,5,0
878,5,4,5,1
314,5,15,7,1
426,0,2,1,0
271,4,1,0,0
761,3,8,4,1
288,10,21,3,1
123,1,2,0,0
59,5,3,1,0
266,1,1,0,0
116,1,11,0,1
56,0,2,1,0
421,2,3,0,0
217,2,10,0,0
217,7,23,7,1
521,1,5,9,1
434,8,20,9,1
386,10,26,2,1
592,7,3,3,1
125,8,28,4,1
22,1,1,2,0
394,1,2,2,0
179,4,13,10,1
614,0,0,3,1
26,3,2,5,0
38,2,6,1,0
314,0,8,5,1
359,0,2,2,0
145,0,16,3,1
102,4,27,10,1
531,3,17,7,1
935,5,28,5,1
121,3,3,5,1
306,1,6,0,0
754,9,24,4,1
290,0,3,6,0
909,4,25,4,1
153,4,3,2,0
303,2,12,9,1
244,2,0,6,0
901,3,28,6,1
573,5,27,4,1
162,0,0,0,0
361,3,14,10,1
376,4,30,10,1
937,3,20,4,1
193,0,0,2,0
427,0,29,4,1
147,5,0,2,0
493,9,6,9,1
865,10,5,6,1
109,2,1,2,0
358,1,17,1,1
254,8,5,5,1
61,8,7,4,1
221,7,1,6,1
528,9,16,9,1
544,1,15,5,1
889,3,20,7,1
795,4,9,6,1
865,9,5,3,1
427,1,1,5,0
480,3,11,1,1
400,3,29,8,1
269,4,1,2,0
489,2,26,8,1
183,2,0,1,0
261,0,0,4,0
192,9,13,8,1
838,2,2,3,1
204,2,1,2,0
567,1,16,4,1
214,5,29,4,1
96,1,10,1,0
322,9,2,10,1
71,6,14,5,1
69,4,1,3,0
955,8,16,10,1
405,1,1,2,0
273,2,0,3,0
185,2,21,6,1
254,1,2,2,0
